pair_id,target_role,resume_text,job_description,score_0_to_100,reviewer_notes
"pair-partial-match-04","Native iOS Specialist","Mobile Developer with experience building cross-platform apps using Flutter and Dart. Published simple apps to iOS App Store and Google Play. Synthetic benchmark variant 4.","Native iOS Specialist. Must have in-depth experience in Swift and SwiftUI for iOS, iPadOS, and watchOS. Evaluation scenario variant 4.","88",""
"pair-partial-match-05","Product UI/UX Designer","Graphic Designer with 3 years experience creating marketing collateral, posters, and illustrations in Adobe Photoshop and Illustrator. Synthetic benchmark variant 5.","Product UI/UX Designer wanted. Must have strong skills in Figma, Adobe XD, UX wireframing, and user usability testing. Evaluation scenario variant 5.","86",""
"pair-partial-match-06","Senior Machine Learning Engineer","Data Analyst with 2 years experience writing complex SQL queries and exploratory data analysis using Python and Pandas. Created dashboards and business reports. Synthetic benchmark variant 6.","Senior Machine Learning Engineer required. Must have deep expertise in Python, TensorFlow, scikit-learn, and distributed ML pipelines. SQL experience is a plus. Evaluation scenario variant 6.","84",""
"pair-partial-match-07","Senior Frontend Engineer","Frontend Developer specializing in HTML, CSS, JavaScript, and responsive UI styling. Built landing pages and interactive client interfaces. Synthetic benchmark variant 7.","Senior Frontend Engineer needed. Must have strong expertise in React, TypeScript, modern state management, HTML, and CSS. Evaluation scenario variant 7.","83",""
"pair-partial-match-08","Android App Developer","Java Backend Developer with 3 years experience writing Java microservices and enterprise Spring applications. Familiar with object-oriented design and SQL. Synthetic benchmark variant 8.","Android App Developer. Must know Kotlin, Android SDK, Jetpack Compose, and Java. Evaluation scenario variant 8.","79",""
"pair-partial-match-09","Native iOS Specialist","Mobile Developer with experience building cross-platform apps using Flutter and Dart. Published simple apps to iOS App Store and Google Play. Synthetic benchmark variant 9.","Native iOS Specialist. Must have in-depth experience in Swift and SwiftUI for iOS, iPadOS, and watchOS. Evaluation scenario variant 9.","88",""
"pair-partial-match-10","Product UI/UX Designer","Graphic Designer with 3 years experience creating marketing collateral, posters, and illustrations in Adobe Photoshop and Illustrator. Synthetic benchmark variant 10.","Product UI/UX Designer wanted. Must have strong skills in Figma, Adobe XD, UX wireframing, and user usability testing. Evaluation scenario variant 10.","80",""
"pair-paraphrase-match-01","Data Scientist","Machine Learning Researcher. Developed gradient boosted decision trees and deep convolutional networks in PyTorch and scientific computing libraries. Engineered feature pipelines and relational database queries. Synthetic benchmark variant 1.","Data Scientist position. Requires solid hands-on experience with Python, scikit-learn, neural networks, and SQL data extraction. Evaluation scenario variant 1.","81",""
"pair-paraphrase-match-02","Frontend Developer","Web UI Engineer. Architected single-page applications using virtual DOM component frameworks, declarative UI state, modern ECMAScript standards, responsive flexbox layouts, and typed JavaScript. Synthetic benchmark variant 2.","Frontend Developer required with practical experience in React, TypeScript, JavaScript, HTML, and CSS. Evaluation scenario variant 2.","82",""
"pair-paraphrase-match-03","Android Engineer","Mobile Software Engineer. Crafted high-performance applications for Google mobile operating systems using modern JVM languages, reactive asynchronous coroutines, and modular component architecture. Synthetic benchmark variant 3.","Android Engineer needed with strong knowledge of Kotlin, Java, and Android architecture components. Evaluation scenario variant 3.","84",""
"pair-paraphrase-match-04","iOS Application Developer","Apple Ecosystem Engineer. Designed native client software targeting iPhone and iPad using declarative UI syntax, Combine event pipelines, and Apple Developer tooling. Synthetic benchmark variant 4.","iOS Application Developer with expertise in Swift, SwiftUI, and Xcode development workflows. Evaluation scenario variant 4.","86",""
"pair-paraphrase-match-05","UI/UX Designer","User Experience Architect. Conducted heuristic evaluations, created low-to-high fidelity wireframes, user journeys, and interactive clickable prototypes with design token component libraries. Synthetic benchmark variant 5.","UI/UX Designer. Requires Figma, Adobe XD, user research, and wireframe creation experience. Evaluation scenario variant 5.","87",""
"pair-paraphrase-match-06","Data Scientist","Machine Learning Researcher. Developed gradient boosted decision trees and deep convolutional networks in PyTorch and scientific computing libraries. Engineered feature pipelines and relational database queries. Synthetic benchmark variant 6.","Data Scientist position. Requires solid hands-on experience with Python, scikit-learn, neural networks, and SQL data extraction. Evaluation scenario variant 6.","80",""
"pair-paraphrase-match-07","Frontend Developer","Web UI Engineer. Architected single-page applications using virtual DOM component frameworks, declarative UI state, modern ECMAScript standards, responsive flexbox layouts, and typed JavaScript. Synthetic benchmark variant 7.","Frontend Developer required with practical experience in React, TypeScript, JavaScript, HTML, and CSS. Evaluation scenario variant 7.","90",""
"pair-paraphrase-match-08","Android Engineer","Mobile Software Engineer. Crafted high-performance applications for Google mobile operating systems using modern JVM languages, reactive asynchronous coroutines, and modular component architecture. Synthetic benchmark variant 8.","Android Engineer needed with strong knowledge of Kotlin, Java, and Android architecture components. Evaluation scenario variant 8.","87",""
"pair-paraphrase-match-09","iOS Application Developer","Apple Ecosystem Engineer. Designed native client software targeting iPhone and iPad using declarative UI syntax, Combine event pipelines, and Apple Developer tooling. Synthetic benchmark variant 9.","iOS Application Developer with expertise in Swift, SwiftUI, and Xcode development workflows. Evaluation scenario variant 9.","86",""
"pair-paraphrase-match-10","UI/UX Designer","User Experience Architect. Conducted heuristic evaluations, created low-to-high fidelity wireframes, user journeys, and interactive clickable prototypes with design token component libraries. Synthetic benchmark variant 10.","UI/UX Designer. Requires Figma, Adobe XD, user research, and wireframe creation experience. Evaluation scenario variant 10.","90",""
"pair-missing-required-skill-01","Data Scientist","Business Intelligence Analyst with 4 years experience in SQL data modeling, Tableau, PowerBI, and Excel reporting. Strong stakeholder communication skills. Synthetic benchmark variant 1.","Data Scientist required. Must have strong programming skills in Python and scikit-learn for predictive modeling and machine learning algorithms. SQL is a plus. Evaluation scenario variant 1.","88",""
"pair-missing-required-skill-02","Frontend Specialist","Backend Engineer with 4 years experience in Java, Spring Boot, microservices architecture, and SQL databases. Managed CI/CD pipelines in Docker. Synthetic benchmark variant 2.","Frontend Specialist wanted. Must be proficient in React, TypeScript, HTML, and CSS for building user-facing client portals. Evaluation scenario variant 2.","70",""
"pair-missing-required-skill-03","Data Scientist","Business Intelligence Analyst with 4 years experience in SQL data modeling, Tableau, PowerBI, and Excel reporting. Strong stakeholder communication skills. Synthetic benchmark variant 3.","Data Scientist required. Must have strong programming skills in Python and scikit-learn for predictive modeling and machine learning algorithms. SQL is a plus. Evaluation scenario variant 3.","77",""
"pair-missing-required-skill-04","Frontend Specialist","Backend Engineer with 4 years experience in Java, Spring Boot, microservices architecture, and SQL databases. Managed CI/CD pipelines in Docker. Synthetic benchmark variant 4.","Frontend Specialist wanted. Must be proficient in React, TypeScript, HTML, and CSS for building user-facing client portals. Evaluation scenario variant 4.","75",""
"pair-missing-required-skill-05","Data Scientist","Business Intelligence Analyst with 4 years experience in SQL data modeling, Tableau, PowerBI, and Excel reporting. Strong stakeholder communication skills. Synthetic benchmark variant 5.","Data Scientist required. Must have strong programming skills in Python and scikit-learn for predictive modeling and machine learning algorithms. SQL is a plus. Evaluation scenario variant 5.","70",""
"pair-missing-required-skill-06","Frontend Specialist","Backend Engineer with 4 years experience in Java, Spring Boot, microservices architecture, and SQL databases. Managed CI/CD pipelines in Docker. Synthetic benchmark variant 6.","Frontend Specialist wanted. Must be proficient in React, TypeScript, HTML, and CSS for building user-facing client portals. Evaluation scenario variant 6.","76",""
"pair-missing-required-skill-07","Data Scientist","Business Intelligence Analyst with 4 years experience in SQL data modeling, Tableau, PowerBI, and Excel reporting. Strong stakeholder communication skills. Synthetic benchmark variant 7.","Data Scientist required. Must have strong programming skills in Python and scikit-learn for predictive modeling and machine learning algorithms. SQL is a plus. Evaluation scenario variant 7.","80",""
"pair-missing-required-skill-08","Frontend Specialist","Backend Engineer with 4 years experience in Java, Spring Boot, microservices architecture, and SQL databases. Managed CI/CD pipelines in Docker. Synthetic benchmark variant 8.","Frontend Specialist wanted. Must be proficient in React, TypeScript, HTML, and CSS for building user-facing client portals. Evaluation scenario variant 8.","79",""
"pair-missing-required-skill-09","Data Scientist","Business Intelligence Analyst with 4 years experience in SQL data modeling, Tableau, PowerBI, and Excel reporting. Strong stakeholder communication skills. Synthetic benchmark variant 9.","Data Scientist required. Must have strong programming skills in Python and scikit-learn for predictive modeling and machine learning algorithms. SQL is a plus. Evaluation scenario variant 9.","88",""
"pair-missing-required-skill-10","Frontend Specialist","Backend Engineer with 4 years experience in Java, Spring Boot, microservices architecture, and SQL databases. Managed CI/CD pipelines in Docker. Synthetic benchmark variant 10.","Frontend Specialist wanted. Must be proficient in React, TypeScript, HTML, and CSS for building user-facing client portals. Evaluation scenario variant 10.","70",""
"pair-keyword-stuffing-01","Senior Data Scientist","Keywords: Python, Pandas, NumPy, scikit-learn, TensorFlow, PyTorch, React, Swift, Figma, Kotlin, Java, SQL, CSS, HTML, Docker, Kubernetes, AI, ML, Data. Looking for any software role. Synthetic benchmark variant 1.","Senior Data Scientist needed. Must have demonstrated track record building and deploying production machine learning models in Python, SQL, and scikit-learn with rigorous statistical analysis. Evaluation scenario variant 1.","80",""
"pair-keyword-stuffing-02","Senior Frontend Architect","Skills: React, TypeScript, JavaScript, HTML, CSS, Figma, Swift, Java, Kotlin, Python, SQL, Mongo, Redis, AWS, GCP, Azure, C++, PHP, Ruby. Passionate about coding. Synthetic benchmark variant 2.","Senior Frontend Architect. Requires 5+ years building large-scale frontend web systems using React, TypeScript, HTML, CSS, and modern web performance optimization. Evaluation scenario variant 2.","77",""
"pair-keyword-stuffing-03","Senior Data Scientist","Keywords: Python, Pandas, NumPy, scikit-learn, TensorFlow, PyTorch, React, Swift, Figma, Kotlin, Java, SQL, CSS, HTML, Docker, Kubernetes, AI, ML, Data. Looking for any software role. Synthetic benchmark variant 3.","Senior Data Scientist needed. Must have demonstrated track record building and deploying production machine learning models in Python, SQL, and scikit-learn with rigorous statistical analysis. Evaluation scenario variant 3.","89",""
"pair-keyword-stuffing-04","Senior Frontend Architect","Skills: React, TypeScript, JavaScript, HTML, CSS, Figma, Swift, Java, Kotlin, Python, SQL, Mongo, Redis, AWS, GCP, Azure, C++, PHP, Ruby. Passionate about coding. Synthetic benchmark variant 4.","Senior Frontend Architect. Requires 5+ years building large-scale frontend web systems using React, TypeScript, HTML, CSS, and modern web performance optimization. Evaluation scenario variant 4.","86",""
"pair-keyword-stuffing-05","Senior Data Scientist","Keywords: Python, Pandas, NumPy, scikit-learn, TensorFlow, PyTorch, React, Swift, Figma, Kotlin, Java, SQL, CSS, HTML, Docker, Kubernetes, AI, ML, Data. Looking for any software role. Synthetic benchmark variant 5.","Senior Data Scientist needed. Must have demonstrated track record building and deploying production machine learning models in Python, SQL, and scikit-learn with rigorous statistical analysis. Evaluation scenario variant 5.","90",""
"pair-keyword-stuffing-06","Senior Frontend Architect","Skills: React, TypeScript, JavaScript, HTML, CSS, Figma, Swift, Java, Kotlin, Python, SQL, Mongo, Redis, AWS, GCP, Azure, C++, PHP, Ruby. Passionate about coding. Synthetic benchmark variant 6.","Senior Frontend Architect. Requires 5+ years building large-scale frontend web systems using React, TypeScript, HTML, CSS, and modern web performance optimization. Evaluation scenario variant 6.","70",""
"pair-keyword-stuffing-07","Senior Data Scientist","Keywords: Python, Pandas, NumPy, scikit-learn, TensorFlow, PyTorch, React, Swift, Figma, Kotlin, Java, SQL, CSS, HTML, Docker, Kubernetes, AI, ML, Data. Looking for any software role. Synthetic benchmark variant 7.","Senior Data Scientist needed. Must have demonstrated track record building and deploying production machine learning models in Python, SQL, and scikit-learn with rigorous statistical analysis. Evaluation scenario variant 7.","88",""
"pair-keyword-stuffing-08","Senior Frontend Architect","Skills: React, TypeScript, JavaScript, HTML, CSS, Figma, Swift, Java, Kotlin, Python, SQL, Mongo, Redis, AWS, GCP, Azure, C++, PHP, Ruby. Passionate about coding. Synthetic benchmark variant 8.","Senior Frontend Architect. Requires 5+ years building large-scale frontend web systems using React, TypeScript, HTML, CSS, and modern web performance optimization. Evaluation scenario variant 8.","75",""
"pair-keyword-stuffing-09","Senior Data Scientist","Keywords: Python, Pandas, NumPy, scikit-learn, TensorFlow, PyTorch, React, Swift, Figma, Kotlin, Java, SQL, CSS, HTML, Docker, Kubernetes, AI, ML, Data. Looking for any software role. Synthetic benchmark variant 9.","Senior Data Scientist needed. Must have demonstrated track record building and deploying production machine learning models in Python, SQL, and scikit-learn with rigorous statistical analysis. Evaluation scenario variant 9.","76",""
"pair-keyword-stuffing-10","Senior Frontend Architect","Skills: React, TypeScript, JavaScript, HTML, CSS, Figma, Swift, Java, Kotlin, Python, SQL, Mongo, Redis, AWS, GCP, Azure, C++, PHP, Ruby. Passionate about coding. Synthetic benchmark variant 10.","Senior Frontend Architect. Requires 5+ years building large-scale frontend web systems using React, TypeScript, HTML, CSS, and modern web performance optimization. Evaluation scenario variant 10.","74",""
"pair-cross-domain-01","Product UI/UX Designer","Senior Android Engineer with 6 years experience writing native Android apps in Kotlin, Java, Android SDK, and SQLite. Expert in Gradle builds and memory optimization. Synthetic benchmark variant 1.","Product UI/UX Designer needed. Requires deep expertise in Figma, Adobe XD, wireframing, typography, color theory, and user persona research. Evaluation scenario variant 1.","76",""
"pair-cross-domain-02","iOS Developer","Lead Data Scientist with 7 years experience in Python, Pandas, NumPy, scikit-learn, TensorFlow, statistical modeling, and big data SQL queries. Synthetic benchmark variant 2.","iOS Developer wanted. Must have hands-on experience building native Apple mobile apps using Swift, SwiftUI, and Xcode. Evaluation scenario variant 2.","77",""
"pair-cross-domain-03","Native Android Developer","Frontend Web Developer with 3 years building responsive web interfaces in React, TypeScript, HTML, and CSS. Experienced with RESTful APIs. Synthetic benchmark variant 3.","Native Android Developer. Must have strong native mobile programming skills in Kotlin, Java, Jetpack Compose, and Android SDK. Evaluation scenario variant 3.","80",""
"pair-cross-domain-04","Product UI/UX Designer","Senior Android Engineer with 6 years experience writing native Android apps in Kotlin, Java, Android SDK, and SQLite. Expert in Gradle builds and memory optimization. Synthetic benchmark variant 4.","Product UI/UX Designer needed. Requires deep expertise in Figma, Adobe XD, wireframing, typography, color theory, and user persona research. Evaluation scenario variant 4.","88",""
"pair-cross-domain-05","iOS Developer","Lead Data Scientist with 7 years experience in Python, Pandas, NumPy, scikit-learn, TensorFlow, statistical modeling, and big data SQL queries. Synthetic benchmark variant 5.","iOS Developer wanted. Must have hands-on experience building native Apple mobile apps using Swift, SwiftUI, and Xcode. Evaluation scenario variant 5.","89",""
"pair-cross-domain-06","Native Android Developer","Frontend Web Developer with 3 years building responsive web interfaces in React, TypeScript, HTML, and CSS. Experienced with RESTful APIs. Synthetic benchmark variant 6.","Native Android Developer. Must have strong native mobile programming skills in Kotlin, Java, Jetpack Compose, and Android SDK. Evaluation scenario variant 6.","86",""
"pair-cross-domain-07","Product UI/UX Designer","Senior Android Engineer with 6 years experience writing native Android apps in Kotlin, Java, Android SDK, and SQLite. Expert in Gradle builds and memory optimization. Synthetic benchmark variant 7.","Product UI/UX Designer needed. Requires deep expertise in Figma, Adobe XD, wireframing, typography, color theory, and user persona research. Evaluation scenario variant 7.","95",""
"pair-cross-domain-08","iOS Developer","Lead Data Scientist with 7 years experience in Python, Pandas, NumPy, scikit-learn, TensorFlow, statistical modeling, and big data SQL queries. Synthetic benchmark variant 8.","iOS Developer wanted. Must have hands-on experience building native Apple mobile apps using Swift, SwiftUI, and Xcode. Evaluation scenario variant 8.","86",""
"pair-cross-domain-09","Native Android Developer","Frontend Web Developer with 3 years building responsive web interfaces in React, TypeScript, HTML, and CSS. Experienced with RESTful APIs. Synthetic benchmark variant 9.","Native Android Developer. Must have strong native mobile programming skills in Kotlin, Java, Jetpack Compose, and Android SDK. Evaluation scenario variant 9.","84",""
"pair-cross-domain-10","Product UI/UX Designer","Senior Android Engineer with 6 years experience writing native Android apps in Kotlin, Java, Android SDK, and SQLite. Expert in Gradle builds and memory optimization. Synthetic benchmark variant 10.","Product UI/UX Designer needed. Requires deep expertise in Figma, Adobe XD, wireframing, typography, color theory, and user persona research. Evaluation scenario variant 10.","83",""
"pair-no-skills-jd-01","Junior Software Engineer","Software Engineer with experience in Python, TypeScript, SQL, problem solving, team collaboration, and agile development methodologies. Synthetic benchmark variant 1.","We are looking for a motivated team player with a passion for innovation, strong communication skills, problem-solving mindset, and eagerness to learn in a fast-paced environment. Evaluation scenario variant 1.","88",""
"pair-no-skills-jd-02","Creative Specialist","Product Designer with portfolio showcasing user interface projects, design systems, and wireframes created in Figma and Adobe XD. Synthetic benchmark variant 2.","Creative thinker wanted to help shape our product vision and collaborate with cross-functional leadership on strategic initiatives. Evaluation scenario variant 2.","85",""
"pair-no-skills-jd-03","Junior Software Engineer","Software Engineer with experience in Python, TypeScript, SQL, problem solving, team collaboration, and agile development methodologies. Synthetic benchmark variant 3.","We are looking for a motivated team player with a passion for innovation, strong communication skills, problem-solving mindset, and eagerness to learn in a fast-paced environment. Evaluation scenario variant 3.","84",""
"pair-no-skills-jd-04","Creative Specialist","Product Designer with portfolio showcasing user interface projects, design systems, and wireframes created in Figma and Adobe XD. Synthetic benchmark variant 4.","Creative thinker wanted to help shape our product vision and collaborate with cross-functional leadership on strategic initiatives. Evaluation scenario variant 4.","83",""
"pair-no-skills-jd-05","Junior Software Engineer","Software Engineer with experience in Python, TypeScript, SQL, problem solving, team collaboration, and agile development methodologies. Synthetic benchmark variant 5.","We are looking for a motivated team player with a passion for innovation, strong communication skills, problem-solving mindset, and eagerness to learn in a fast-paced environment. Evaluation scenario variant 5.","84",""
"pair-no-skills-jd-06","Creative Specialist","Product Designer with portfolio showcasing user interface projects, design systems, and wireframes created in Figma and Adobe XD. Synthetic benchmark variant 6.","Creative thinker wanted to help shape our product vision and collaborate with cross-functional leadership on strategic initiatives. Evaluation scenario variant 6.","82",""
"pair-no-skills-jd-07","Junior Software Engineer","Software Engineer with experience in Python, TypeScript, SQL, problem solving, team collaboration, and agile development methodologies. Synthetic benchmark variant 7.","We are looking for a motivated team player with a passion for innovation, strong communication skills, problem-solving mindset, and eagerness to learn in a fast-paced environment. Evaluation scenario variant 7.","86",""
"pair-no-skills-jd-08","Creative Specialist","Product Designer with portfolio showcasing user interface projects, design systems, and wireframes created in Figma and Adobe XD. Synthetic benchmark variant 8.","Creative thinker wanted to help shape our product vision and collaborate with cross-functional leadership on strategic initiatives. Evaluation scenario variant 8.","81",""
"pair-no-skills-jd-09","Junior Software Engineer","Software Engineer with experience in Python, TypeScript, SQL, problem solving, team collaboration, and agile development methodologies. Synthetic benchmark variant 9.","We are looking for a motivated team player with a passion for innovation, strong communication skills, problem-solving mindset, and eagerness to learn in a fast-paced environment. Evaluation scenario variant 9.","75",""
"pair-no-skills-jd-10","Creative Specialist","Product Designer with portfolio showcasing user interface projects, design systems, and wireframes created in Figma and Adobe XD. Synthetic benchmark variant 10.","Creative thinker wanted to help shape our product vision and collaborate with cross-functional leadership on strategic initiatives. Evaluation scenario variant 10.","90",""
